destination,year,population,origin,total,destination_lat,destination_lng,origin_lat,origin_lng
Alabama,2010,4729509,Alabama,0,32,-87,32,-87
Alabama,2011,4745278,Alabama,0,32,-87,32,-87
Alabama,2012,4764428,Alabama,0,32,-87,32,-87
Alabama,2013,4781296,Alabama,0,32,-87,32,-87
Alabama,2014,4791931,Alabama,0,32,-87,32,-87
Alabama,2015,4801599,Alabama,0,32,-87,32,-87
Alabama,2016,4810126,Alabama,0,32,-87,32,-87
Alabama,2017,4819343,Alabama,0,32,-87,32,-87
Alabama,2018,4832358,Alabama,0,32,-87,32,-87
Alabama,2019,4849509,Alabama,0,32,-87,32,-87
Alaska,2010,702974,Alabama,477,64,-149,32,-87
Alaska,2011,711962,Alabama,93,64,-149,32,-87
Alaska,2012,721186,Alabama,1097,64,-149,32,-87
Alaska,2013,725193,Alabama,572,64,-149,32,-87
Alaska,2014,725206,Alabama,603,64,-149,32,-87
Alaska,2015,727862,Alabama,279,64,-149,32,-87
Alaska,2016,731760,Alabama,423,64,-149,32,-87
Alaska,2017,730874,Alabama,942,64,-149,32,-87
Alaska,2018,727164,Alabama,518,64,-149,32,-87
Alaska,2019,722063,Alabama,260,64,-149,32,-87
Arizona,2010,6332786,Alabama,416,34,-111,32,-87
Arizona,2011,6402301,Alabama,833,34,-111,32,-87
Arizona,2012,6468907,Alabama,1331,34,-111,32,-87
Arizona,2013,6543362,Alabama,2140,34,-111,32,-87
Arizona,2014,6651964,Alabama,785,34,-111,32,-87
Arizona,2015,6747595,Alabama,607,34,-111,32,-87
Arizona,2016,6851836,Alabama,894,34,-111,32,-87
Arizona,2017,6935358,Alabama,1337,34,-111,32,-87
Arizona,2018,7090137,Alabama,2801,34,-111,32,-87
Arizona,2019,7200620,Alabama,1750,34,-111,32,-87
Arkansas,2010,2888304,Alabama,1405,35,-92,32,-87
Arkansas,2011,2906632,Alabama,691,35,-92,32,-87
Arkansas,2012,2912680,Alabama,374,35,-92,32,-87
Arkansas,2013,2923642,Alabama,0,35,-92,32,-87
Arkansas,2014,2931123,Alabama,2145,35,-92,32,-87
Arkansas,2015,2938341,Alabama,956,35,-92,32,-87
Arkansas,2016,2949650,Alabama,2057,35,-92,32,-87
Arkansas,2017,2968395,Alabama,574,35,-92,32,-87
Arkansas,2018,2975961,Alabama,438,35,-92,32,-87
Arkansas,2019,2989054,Alabama,636,35,-92,32,-87
California,2010,36907897,Alabama,3364,37,-119,32,-87
California,2011,37222678,Alabama,2087,37,-119,32,-87
California,2012,37572738,Alabama,2509,37,-119,32,-87
California,2013,37873189,Alabama,2958,37,-119,32,-87
California,2014,38340324,Alabama,10439,37,-119,32,-87
California,2015,38675135,Alabama,5273,37,-119,32,-87
California,2016,38783436,Alabama,3045,37,-119,32,-87
California,2017,39085984,Alabama,3715,37,-119,32,-87
California,2018,39114889,Alabama,4591,37,-119,32,-87
California,2019,39084048,Alabama,3310,37,-119,32,-87
Colorado,2010,4988190,Alabama,954,40,-106,32,-87
Colorado,2011,5048443,Alabama,2340,40,-106,32,-87
Colorado,2012,5123944,Alabama,3108,40,-106,32,-87
Colorado,2013,5206012,Alabama,2926,40,-106,32,-87
Colorado,2014,5293943,Alabama,1004,40,-106,32,-87
Colorado,2015,5393067,Alabama,2392,40,-106,32,-87
Colorado,2016,5476928,Alabama,2328,40,-106,32,-87
Colorado,2017,5542282,Alabama,3120,40,-106,32,-87
Colorado,2018,5633029,Alabama,3597,40,-106,32,-87
Colorado,2019,5701658,Alabama,3422,40,-106,32,-87
Connecticut,2010,3541146,Alabama,896,42,-73,32,-87
Connecticut,2011,3548667,Alabama,101,42,-73,32,-87
Connecticut,2012,3555319,Alabama,46,42,-73,32,-87
Connecticut,2013,3562959,Alabama,337,42,-73,32,-87
Connecticut,2014,3558915,Alabama,275,42,-73,32,-87
Connecticut,2015,3554844,Alabama,163,42,-73,32,-87
Connecticut,2016,3541758,Alabama,1102,42,-73,32,-87
Connecticut,2017,3556297,Alabama,206,42,-73,32,-87
Connecticut,2018,3538203,Alabama,1054,42,-73,32,-87
Connecticut,2019,3531986,Alabama,248,42,-73,32,-87
Delaware,2010,889812,Alabama,128,39,-76,32,-87
Delaware,2011,897187,Alabama,81,39,-76,32,-87
Delaware,2012,906576,Alabama,119,39,-76,32,-87
Delaware,2013,914025,Alabama,0,39,-76,32,-87
Delaware,2014,924770,Alabama,46,39,-76,32,-87
Delaware,2015,935813,Alabama,76,39,-76,32,-87
Delaware,2016,942073,Alabama,148,39,-76,32,-87
Delaware,2017,952449,Alabama,506,39,-76,32,-87
Delaware,2018,958770,Alabama,39,39,-76,32,-87
Delaware,2019,964817,Alabama,0,39,-76,32,-87
District of Columbia ,2010,596747,Alabama,360,39,-77,32,-87
District of Columbia ,2011,611608,Alabama,13,39,-77,32,-87
District of Columbia ,2012,624847,Alabama,79,39,-77,32,-87
District of Columbia ,2013,636535,Alabama,316,39,-77,32,-87
District of Columbia ,2014,648586,Alabama,251,39,-77,32,-87
District of Columbia ,2015,663006,Alabama,359,39,-77,32,-87
District of Columbia ,2016,672022,Alabama,140,39,-77,32,-87
District of Columbia ,2017,684810,Alabama,494,39,-77,32,-87
District of Columbia ,2018,693798,Alabama,174,39,-77,32,-87
District of Columbia ,2019,697556,Alabama,462,39,-77,32,-87
Florida,2010,18647600,Alabama,15830,28,-82,32,-87
Florida,2011,18863948,Alabama,12635,28,-82,32,-87
Florida,2012,19114620,Alabama,18599,28,-82,32,-87
Florida,2013,19345059,Alabama,10281,28,-82,32,-87
Florida,2014,19683763,Alabama,15731,28,-82,32,-87
Florida,2015,20068392,Alabama,15449,28,-82,32,-87
Florida,2016,20401575,Alabama,11353,28,-82,32,-87
Florida,2017,20772371,Alabama,9389,28,-82,32,-87
Florida,2018,21092877,Alabama,12870,28,-82,32,-87
Florida,2019,21269409,Alabama,15153,28,-82,32,-87
Georgia,2010,9587237,Alabama,13840,32,-83,32,-87
Georgia,2011,9699859,Alabama,18799,32,-83,32,-87
Georgia,2012,9796547,Alabama,13864,32,-83,32,-87
Georgia,2013,9870319,Alabama,18739,32,-83,32,-87
Georgia,2014,9970167,Alabama,18778,32,-83,32,-87
Georgia,2015,10088525,Alabama,16372,32,-83,32,-87
Georgia,2016,10179860,Alabama,18276,32,-83,32,-87
Georgia,2017,10299497,Alabama,15270,32,-83,32,-87
Georgia,2018,10410462,Alabama,15589,32,-83,32,-87
Georgia,2019,10499808,Alabama,14169,32,-83,32,-87
Hawaii,2010,1346274,Alabama,749,20,-156,32,-87
Hawaii,2011,1357806,Alabama,1268,20,-156,32,-87
Hawaii,2012,1374852,Alabama,608,20,-156,32,-87
Hawaii,2013,1387361,Alabama,593,20,-156,32,-87
Hawaii,2014,1401004,Alabama,510,20,-156,32,-87
Hawaii,2015,1414355,Alabama,240,20,-156,32,-87
Hawaii,2016,1410258,Alabama,1182,20,-156,32,-87
Hawaii,2017,1410750,Alabama,844,20,-156,32,-87
Hawaii,2018,1403653,Alabama,484,20,-156,32,-87
Hawaii,2019,1396819,Alabama,502,20,-156,32,-87
Idaho,2010,1550967,Alabama,376,44,-115,32,-87
Idaho,2011,1559637,Alabama,263,44,-115,32,-87
Idaho,2012,1573036,Alabama,575,44,-115,32,-87
Idaho,2013,1592596,Alabama,72,44,-115,32,-87
Idaho,2014,1613068,Alabama,166,44,-115,32,-87
Idaho,2015,1635366,Alabama,564,44,-115,32,-87
Idaho,2016,1663756,Alabama,0,44,-115,32,-87
Idaho,2017,1694182,Alabama,58,44,-115,32,-87
Idaho,2018,1734756,Alabama,84,44,-115,32,-87
Idaho,2019,1764327,Alabama,19,44,-115,32,-87
Illinois,2010,12680126,Alabama,1397,41,-89,32,-87
Illinois,2011,12718402,Alabama,2823,41,-89,32,-87
Illinois,2012,12725119,Alabama,883,41,-89,32,-87
Illinois,2013,12740816,Alabama,2044,41,-89,32,-87
Illinois,2014,12730206,Alabama,1566,41,-89,32,-87
Illinois,2015,12706393,Alabama,1853,41,-89,32,-87
Illinois,2016,12654142,Alabama,2022,41,-89,32,-87
Illinois,2017,12659328,Alabama,1682,41,-89,32,-87
