state,lat,lng
Alabama,32.3182314,-86.902298
Alaska,64.2008413,-149.4936733
Arizona,34.0489281,-111.0937311
Arkansas,35.20105,-91.8318334
California,36.778261,-119.4179324
Colorado,39.5500507,-105.7820674
Connecticut,41.6032207,-73.087749
Delaware,38.9108325,-75.52766989999999
District of Columbia ,38.9071923,-77.0368707
Florida,27.6648274,-81.5157535
Georgia,32.1656221,-82.9000751
Hawaii,19.8967662,-155.5827818
Idaho,44.0682019,-114.7420408
Illinois,40.6331249,-89.3985283
Indiana,40.2671941,-86.1349019
Iowa,41.8780025,-93.097702
Kansas,39.011902,-98.4842465
Kentucky,37.8393332,-84.2700179
Louisiana,30.9842977,-91.96233269999999
Maine,45.253783,-69.4454689
Maryland,39.0457549,-76.64127119999999
Massachusetts,42.4072107,-71.3824374
Michigan,44.3148443,-85.60236429999999
Minnesota,46.729553,-94.6858998
Mississippi,32.3546679,-89.3985283
Missouri,37.9642529,-91.8318334
Montana,46.8796822,-110.3625658
Nebraska,41.4925374,-99.9018131
Nevada,38.8026097,-116.419389
New Hampshire,43.1938516,-71.5723953
New Jersey,40.0583238,-74.4056612
New Mexico,34.5199402,-105.8700901
New York,40.7127753,-74.0059728
North Carolina,35.7595731,-79.01929969999999
North Dakota,47.5514926,-101.0020119
Ohio,40.4172871,-82.90712300000001
Oklahoma,35.0077519,-97.092877
Oregon,43.8041334,-120.5542012
Pennsylvania,41.2033216,-77.1945247
Rhode Island,41.5800945,-71.4774291
South Carolina,33.836081,-81.1637245
South Dakota,43.9695148,-99.9018131
Tennessee,35.5174913,-86.5804473
Texas,31.9685988,-99.9018131
Utah,39.3209801,-111.0937311
Vermont,44.5588028,-72.57784149999999
Virginia,37.4315734,-78.6568942
Washington,47.7510741,-120.7401385
West Virginia,38.5976262,-80.4549026
Wisconsin,43.7844397,-88.7878678
Wyoming,43.0759678,-107.2902839
Puerto Rico,18.220833,-66.590149
