,destination,year,total,pct_ch,postal
0,Alabama,2010,108723,,AL
1,Alabama,2011,226449,2.08280676581772,AL
2,Alabama,2012,331049,1.4619141616876206,AL
3,Alabama,2013,435151,1.314461001241508,AL
4,Alabama,2014,543070,1.2480035665780385,AL
5,Alabama,2015,657946,1.2115307418933103,AL
6,Alabama,2016,780166,1.1857599255865983,AL
7,Alabama,2017,891969,1.1433066808858627,AL
8,Alabama,2018,1001270,1.1225390120060226,AL
9,Alabama,2019,1106050,1.1046470981853047,AL
10,Alaska,2010,36326,,AK
11,Alaska,2011,71410,1.9658096129494027,AK
12,Alaska,2012,104825,1.4679316622321803,AK
13,Alaska,2013,139185,1.3277844025757215,AK
14,Alaska,2014,177027,1.2718827459855588,AK
15,Alaska,2015,211723,1.195992701678275,AK
16,Alaska,2016,243023,1.1478346707726605,AK
17,Alaska,2017,273222,1.124263958555363,AK
18,Alaska,2018,305321,1.1174832187744765,AK
19,Alaska,2019,339352,1.1114597423695063,AK
20,Arizona,2010,222725,,AZ
21,Arizona,2011,445602,2.000682455943428,AZ
22,Arizona,2012,678059,1.521669561626743,AZ
23,Arizona,2013,914205,1.3482676286281872,AZ
24,Arizona,2014,1163935,1.2731663029626834,AZ
25,Arizona,2015,1417216,1.217607512447001,AZ
26,Arizona,2016,1690473,1.1928125282243498,AZ
27,Arizona,2017,1952200,1.1548247147396025,AZ
28,Arizona,2018,2225914,1.1402079704948263,AZ
29,Arizona,2019,2479209,1.1137937045186832,AZ
30,Arkansas,2010,79127,,AR
31,Arkansas,2011,148972,1.882694908185575,AR
32,Arkansas,2012,225920,1.516526595601858,AR
33,Arkansas,2013,296541,1.3125929532577905,AR
34,Arkansas,2014,371282,1.2520427192192647,AR
35,Arkansas,2015,452876,1.2197628756578558,AR
36,Arkansas,2016,523959,1.1569590793064768,AR
37,Arkansas,2017,603370,1.151559568592199,AR
38,Arkansas,2018,676549,1.1212837893829657,AR
39,Arkansas,2019,736272,1.088275941579989,AR
40,California,2010,444749,,CA
41,California,2011,913177,2.053241266422184,CA
